date;Value;% Change;Open;High;Low;Turnover;
10.02.2012;525,79;-1,26;527,04;529,27;524,85;33.772.287;
09.02.2012;532,51;0,93;529,14;536,78;529,01;16.220.461;
08.02.2012;527,61;0,79;524,53;530,60;523,43;21.313.364;
07.02.2012;523,46;-1,06;525,93;526,89;520,56;35.704.807;
06.02.2012;529,08;0,10;529,53;536,29;526,03;69.105.278;
03.02.2012;528,57;3,18;523,03;533,84;522,87;61.783.284;
02.02.2012;512,29;0,78;506,94;522,20;506,94;89.175.110;
01.02.2012;508,33;1,66;497,92;510,26;497,92;15.124.492;
31.01.2012;500,01;0,49;496,45;503,11;492,26;37.287.143;
30.01.2012;497,56;3,81;480,62;497,82;480,43;51.398.238;
27.01.2012;479,30;-0,21;481,17;486,16;476,64;29.252.070;
26.01.2012;480,29;1,70;472,50;484,99;472,50;71.307.955;
25.01.2012;472,26;0,07;470,12;473,93;468,10;52.157.437;
24.01.2012;471,93;-0,72;472,79;478,05;471,03;163.143.883;
23.01.2012;475,36;-0,03;474,69;477,68;474,01;129.984.820;
20.01.2012;475,52;0,09;473,03;478,42;472,66;55.603.842;
19.01.2012;475,08;-0,47;475,55;479,01;473,97;40.947.129;
18.01.2012;477,30;-0,80;479,34;479,34;473,90;15.724.093;
17.01.2012;481,13;-0,53;481,39;482,12;480,42;6.149.415;
16.01.2012;483,67;-0,62;485,34;485,53;482,34;17.581.390;
13.01.2012;486,67;-0,09;485,19;487,73;483,97;39.980.329;
12.01.2012;487,13;-0,08;487,70;492,39;485,06;20.046.888;
11.01.2012;487,53;-0,57;489,95;490,09;487,05;10.188.885;
10.01.2012;490,34;-0,14;490,52;493,33;489,57;10.715.640;
09.01.2012;491,03;-0,54;491,36;494,41;490,51;23.352.033;
06.01.2012;493,68;0,56;491,22;495,27;491,22;11.575.626;
05.01.2012;490,93;-0,07;490,14;494,47;490,14;4.173.474;
04.01.2012;491,26;-1,56;494,87;495,74;488,66;5.727.191;
30.12.2011;499,05;0,04;496,98;499,05;495,26;21.033.087;
29.12.2011;498,83;0,43;496,73;501,52;495,55;107.124.611;
28.12.2011;496,69;-0,40;495,63;499,75;490,53;14.119.197;
27.12.2011;498,67;-0,63;502,36;504,66;495,84;84.409.529;
26.12.2011;501,85;1,37;494,99;503,52;494,59;37.956.290;
23.12.2011;495,07;0,44;492,24;495,21;492,24;84.233.631;
22.12.2011;492,89;0,32;492,03;496,69;490,10;17.421.687;
21.12.2011;491,32;0,80;489,95;493,43;488,90;21.039.591;
20.12.2011;487,43;-0,80;489,10;490,14;487,43;19.341.879;
19.12.2011;491,36;0,73;486,45;491,36;485,59;78.268.702;
16.12.2011;487,82;-0,18;488,81;489,84;486,27;65.817.980;
15.12.2011;488,72;0,59;484,72;488,72;484,03;99.072.710;
14.12.2011;485,87;-0,90;486,19;488,65;485,59;21.563.732;
13.12.2011;490,27;-1,43;494,36;498,00;487,67;18.069.729;
12.12.2011;497,36;-1,61;502,08;502,57;492,95;47.251.265;
09.12.2011;505,49;0,63;501,56;505,92;498,84;25.558.882;
08.12.2011;502,35;0,17;498,28;509,77;498,28;27.527.553;
07.12.2011;501,51;-0,73;504,06;511,50;498,30;26.430.145;
06.12.2011;505,21;1,27;498,22;507,49;496,89;13.086.607;
05.12.2011;498,89;1,01;491,24;501,05;490,30;21.614.479;
02.12.2011;493,91;0,26;492,64;503,06;492,64;15.281.530;
01.12.2011;492,65;0,22;491,28;496,61;489,96;20.202.944;
30.11.2011;491,55;-1,54;496,58;496,64;490,20;21.569.546;
29.11.2011;499,26;-0,43;496,62;503,25;496,62;11.822.042;
28.11.2011;501,40;-0,75;504,32;505,04;499,61;10.099.564;
25.11.2011;505,18;-1,22;509,18;509,18;504,68;22.697.421;
24.11.2011;511,41;-0,94;517,77;518,31;511,41;50.444.818;
23.11.2011;516,26;-0,43;517,29;517,97;514,15;11.244.642;
22.11.2011;518,50;-1,29;516,08;525,49;516,08;10.863.441;
